module,alpha,seed,n_iters,total_steps,train_return_late,train_return_early,train_return_delta,train_task_score,train_capture_rate,train_pursuer_dist,eval_return,eval_task_score,eval_capture,eval_pursuer_dist,explained_variance,entropy,policy_loss,value_loss,approx_kl,clipfrac,grad_norm,ratio0_max,ratio0_min,nan_count,cap_c1_participation,marginal_c1_rate,knn_c1_sighted_frac,dist_full_sight,dist_sensor_limited
attention,0.5,0,625,2000000,137.81232732101793,-662.7390382289886,800.5513655500066,0.19597658126771872,0.9425403225806451,0.8906968922961143,67.47045512869954,0.17114160965853265,0.32,0.8698034777084831,0.9496401394567182,0.697721981233166,-0.00036778415920473627,0.0042438459732839695,0.0005259902376242682,0.0038845262111862665,0.19156326007458468,1.0,1.0,0,0.3658064516129032,0.25564516129032255,0.9378125427711393,2.5908854607312435,1.2096837381465781
attention,0.5,1,625,2000000,111.14270526122662,-606.4316962034471,717.5744014646738,0.17896974723960313,0.9334677419354839,0.9378415957706109,364.12340538576245,0.32684597800020365,0.495,0.5145312884356827,0.9352807402610779,0.7161437791201376,-0.0003636263916662855,0.0066747027411755986,0.00048015591819269604,0.0031541330666450254,0.2067275630730775,1.0,1.0,0,0.3441834677419354,0.24079637096774195,0.9368988040762564,2.6666859394023494,1.2450534142734064
attention,0.5,2,625,2000000,123.2816855154571,-642.8061474292509,766.087832944708,0.1866418364873602,0.9304435483870968,0.8994315856022219,476.956280130893,0.36872901741030495,0.6000000000000001,0.6273588434664998,0.9408569307096543,0.688964248376508,-0.0003380192955700956,0.005404998651224949,0.00040014804378083407,0.0025938508134663893,0.15580341439814335,1.0,1.0,0,0.3515675403225807,0.2454183467741935,0.937100416652618,2.499115701769629,1.2306004578319767
attention,0.5,3,625,2000000,95.44519879356507,-665.3799159449916,760.8251147385566,0.17287004564233094,0.9233870967741935,0.9631267930230786,240.24293174222112,0.17020902064303045,0.47624999999999995,1.800459802270052,0.9488552183874192,0.6280805923285022,-0.00034120856682638516,0.004710027506019148,0.0003964735007865028,0.003032207658514098,0.162954037912911,1.0,1.0,0,0.33517137096774197,0.2362852822580645,0.9367742362041627,2.681795991526977,1.3024734503235067
attention,0.5,4,625,2000000,147.10070883170252,-611.2853167749221,758.3860256066246,0.19840588324327102,0.9485887096774194,0.870769930546202,-67.03560071438551,0.128529483551379,0.22125,0.7214913165569306,0.9494005855052702,0.669668504307347,-0.0003969674774000445,0.00405411468105265,0.0005074136548122273,0.003155191539442391,0.19414903135789977,1.0,1.0,0,0.36740423387096766,0.25607862903225803,0.9336254744375906,2.4943555038037797,1.189854266607473
attention,0.75,0,625,2000000,132.92676025629044,-701.7845700325504,834.7113302888408,0.19314839431180683,0.9405241935483871,0.8885456174936506,74.70874805748463,0.1703877132326909,0.32,0.8780791590700391,0.9513841761696723,0.6424020229808745,-0.0003116734505013081,0.004474042762716765,0.00043200367201142874,0.0034004032228509094,0.2886712650017392,1.0,1.0,0,0.36004536290322575,0.25033266129032256,0.9375943685635444,2.5830381421744826,1.2072901639150035
attention,0.75,1,625,2000000,116.32195580005646,-627.7631235122681,744.0850793123245,0.1871745468522933,0.9344758064516129,0.8733763285630173,368.8695514500141,0.3463421869251048,0.495,0.42942392312048466,0.9395674236359135,0.7274407379088863,-0.0003152399878171768,0.006257725597899962,0.00045432694904899387,0.0032208165254609088,0.17205150555819268,1.0,1.0,0,0.3475655241935484,0.24177419354838714,0.9372818682462939,2.657152058277881,1.1919868936966502
attention,0.75,2,625,2000000,101.08463392863351,-694.1974642968947,795.2820982255282,0.17608126263239152,0.9233870967741935,0.9129486142964133,446.06985729187727,0.35365818963812884,0.57,0.6116034873179159,0.9360119460090515,0.6155679074025922,-0.0002782945746271566,0.005408622195283203,0.0002721902552422787,0.0014479334704270424,0.0968604584014223,1.0,1.0,0,0.33407258064516127,0.23154737903225808,0.9378787867100008,2.553828598818472,1.2495730023422547
attention,0.75,3,625,2000000,114.98802945786908,-723.1222748064225,838.1103042642916,0.18500311183683965,0.9314516129032258,0.9081417384010648,266.6498015727848,0.19571589831245326,0.49,1.5036510972277028,0.9557047226736622,0.685566686045739,-0.0003334410169485861,0.004100784091954821,0.0004609714021491195,0.0032399697608906384,0.20376209039841922,1.0,1.0,0,0.34853326612903224,0.24505544354838713,0.9382956937628408,2.6331378498913773,1.2467640972137455
attention,0.75,4,625,2000000,150.11632565216672,-610.3497179323628,760.4660435845294,0.20133831111587383,0.9485887096774194,0.8470542223571289,-63.31010667607188,0.13056753516847736,0.225,0.7234141600877046,0.9511838247699123,0.6435128298497969,-0.0003892247089438871,0.004133128447668397,0.0005516867009817464,0.003352520162221547,0.2028252466311378,1.0,1.0,0,0.36828629032258065,0.256960685483871,0.9349244383362032,2.4796037325359164,1.1657140851369308
