module,alpha,train_return_late_mean,train_return_late_std,train_return_late_count,train_return_delta_mean,train_return_delta_std,train_return_delta_count,train_task_score_mean,train_task_score_std,train_task_score_count,train_capture_rate_mean,train_capture_rate_std,train_capture_rate_count,train_pursuer_dist_mean,train_pursuer_dist_std,train_pursuer_dist_count,eval_return_mean,eval_return_std,eval_return_count,eval_task_score_mean,eval_task_score_std,eval_task_score_count,eval_capture_mean,eval_capture_std,eval_capture_count,eval_pursuer_dist_mean,eval_pursuer_dist_std,eval_pursuer_dist_count,explained_variance_mean,explained_variance_std,explained_variance_count,entropy_mean,entropy_std,entropy_count,policy_loss_mean,policy_loss_std,policy_loss_count,value_loss_mean,value_loss_std,value_loss_count,approx_kl_mean,approx_kl_std,approx_kl_count,clipfrac_mean,clipfrac_std,clipfrac_count,grad_norm_mean,grad_norm_std,grad_norm_count,cap_c1_participation_mean,cap_c1_participation_std,cap_c1_participation_count,marginal_c1_rate_mean,marginal_c1_rate_std,marginal_c1_rate_count,knn_c1_sighted_frac_mean,knn_c1_sighted_frac_std,knn_c1_sighted_frac_count,dist_full_sight_mean,dist_full_sight_std,dist_full_sight_count,dist_sensor_limited_mean,dist_sensor_limited_std,dist_sensor_limited_count
attention,0.0,-440.0158085639679,35.82749435708165,5,283.15510849171585,22.86030839115062,5,0.00028766133581793567,0.0002684936551085004,5,0.01502016129032258,0.012281229769188442,5,2.1439913903436354,0.1008718432552714,5,-391.7519005551934,66.0756474081898,5,0.0,0.0,5,0.0,0.0,5,1.7764839574364015,0.6129546510028061,5,0.8935880501424112,0.007563073301031008,5,1.0204342930163106,0.1046942270927517,5,-0.00032750528059434015,1.3285252734098058e-05,5,0.010753682668981723,0.0030635856489733054,5,0.00045836164342778773,6.204304160137063e-05,5,0.002454979838065209,0.0003395613568842645,5,0.08426386771663538,0.008439948962341428,5,0.000876008064516129,0.0008094732957017262,5,0.0005796370967741935,0.0005374033441637838,5,0.872995000206655,0.010487973819348283,5,3.2713356372579447,0.11813605053487407,5,4.0224486092482845,0.5776454582523333,5
attention,0.25,47.01911588547931,34.77885974384003,5,711.7436787596273,56.082740328488846,5,0.15677265050273378,0.01618893081963922,5,0.847983870967742,0.037781580277598655,5,0.9750683712449766,0.04954405782567494,5,221.28871735408902,222.0325444004709,5,0.2367889704565683,0.10482288218850407,5,0.42374999999999996,0.15232315565927593,5,0.849901367037557,0.3585350553761551,5,0.9422733362643949,0.006029753743881269,5,0.7600637147118967,0.038820390537772226,5,-0.0004255010400262374,8.775528127345287e-06,5,0.007766752806642313,0.003634778715583277,5,0.0005602072147013635,3.091888847479457e-05,5,0.0039060887107857504,0.0002650126843118904,5,0.19446081658044165,0.020489402455395427,5,0.3048094758064516,0.023839916037703843,5,0.20649495967741935,0.015089635128098187,5,0.9221181301186163,0.0025901648071190242,5,2.626725088629511,0.07398589261501848,5,1.424895596986336,0.07812127808817543,5
attention,0.5,122.95652514459384,20.616629279043917,5,760.6849480609139,29.50570422586587,5,0.1865728187760568,0.010886110594148173,5,0.9356854838709678,0.009964043381573853,5,0.9123733594476455,0.03739233248907213,5,216.35149433463812,219.54270787957086,5,0.23309102185269012,0.10713618515746622,5,0.4225,0.15054847641208466,5,0.9067289456875297,0.516308524481233,5,0.944806722864028,0.00646531144923567,5,0.6801158210731322,0.03355255862252272,5,-0.0003615211781335094,2.3796205841208703e-05,5,0.005017537910551264,0.0010627402414568486,5,0.0004620362710393056,6.042799005718898e-05,5,0.003163981857850834,0.00046415845378794125,5,0.18223946136332325,0.021790079979304888,5,0.3528266129032258,0.013865244641290365,5,0.2468447580645161,0.008843523547409042,5,0.9364422948283535,0.0016250974312710417,5,2.5865677194467955,0.0889619918443047,5,1.2355330654365884,0.042868179260324886,5
attention,0.75,123.08754101900324,18.860465166960733,5,794.530971135103,42.483499798261164,5,0.18854912534984103,0.009415782311683862,5,0.9356854838709678,0.00949401990158963,5,0.886013304222255,0.02692161934248767,5,218.59757033921778,210.24405943019048,5,0.23933430465537103,0.10369070056027323,5,0.42000000000000004,0.14234640845486757,5,0.8292343653647695,0.4109845638040088,5,0.9467704186516424,0.008488441717356491,5,0.6628980368375778,0.04391936334012806,5,-0.0003255747477676229,4.0769669638346274e-05,5,0.0048748606191046295,0.0009363803991715157,5,0.00043423579588671346,0.00010146046250263304,5,0.002932328628370209,0.0008332094678455708,5,0.19283411319818225,0.06900518512066219,5,0.35170060483870963,0.013063289340144474,5,0.24513407258064518,0.009523488181189678,5,0.9371950311237767,0.0013230251915923672,5,2.581352076339626,0.06989369374959366,5,1.212265648460917,0.036003517221036486,5
attention,1.0,120.24352071169884,11.903457205536814,5,764.3870460398736,48.182020685796786,5,0.1871328750020553,0.006787542664761558,5,0.9345766129032258,0.007980599178910204,5,0.8842296083874761,0.027621683991854922,5,196.3019050281495,221.48496366616894,5,0.2308710761650064,0.11481276403334392,5,0.39875,0.14721901201950785,5,0.8290051753525622,0.3865931901630856,5,0.9489901619572793,0.0044770263599261525,5,0.6760931275352354,0.048839413959378186,5,-0.0003066382333909778,2.730121724843876e-05,5,0.005117706664717678,0.0008083218319622938,5,0.0003916969286574974,7.686320043583049e-05,5,0.002604062504767799,0.0005057781989027577,5,0.1413927481647941,0.03409864656512691,5,0.3486663306451613,0.009096517621648054,5,0.24382862903225808,0.005635047508774983,5,0.9363710102996519,0.0015704289273974906,5,2.580748373187838,0.04336861633862102,5,1.2105845377406765,0.032780221772545026,5
attention_zm,0.0,-536.2021691616504,28.686479221495723,5,188.62383238019478,28.042292485933345,5,5.3895791395678616e-05,4.739004492667853e-05,5,0.0033266129032258063,0.002185431793213589,5,2.4468625943314644,0.2683612941054245,5,-464.75346527695655,151.0684949025003,5,0.0,0.0,5,0.0,0.0,5,2.3148511163382794,0.7880782364725324,5,0.9001928152576569,0.02300132713403461,5,1.2617613620911876,0.09901202419895047,5,-0.00015747438405674794,3.7184192154338585e-05,5,0.019923481455883862,0.008478336958625344,5,0.0002144421796908934,8.957310733518268e-05,5,0.0003837802411268656,0.0003132490514076023,5,0.04950123348002948,0.007508218038136235,5,0.00017641129032258063,0.00016274076906212643,5,8.16532258064516e-05,0.0001111959591471073,5,0.84890110449541,0.03421665272261501,5,3.4484327328743474,0.43640209253886614,5,5.411344122132948,0.22494795209319537,5
attention_zm,0.25,-31.2093168679084,10.599274830161459,5,622.7285480101924,34.290712840212166,5,0.14190384078773466,0.003489519467236216,5,0.7037298387096774,0.01454462788273175,5,0.9704440454718085,0.019296548116527378,5,179.19922061488032,262.0650583555665,5,0.22955896044878726,0.12139741248481141,5,0.40225,0.17461654417608888,5,0.8349590780253056,0.4002950001616357,5,0.9518593766996938,0.0020012355169191022,5,0.9317827183969559,0.030534658770206245,5,-0.0003005417595429589,2.435909830515302e-05,5,0.009359225737561813,0.0009675836043113859,5,0.0006853191721077499,7.067643158944425e-05,5,0.0042473387157341315,0.00072387836713246,5,0.24414663427178898,0.033221135979520984,5,0.27442842741935486,0.00463618942735818,5,0.17470564516129033,0.0018254619172872254,5,0.8768051959122382,0.007477958187445333,5,2.609733132130196,0.08234640071222196,5,1.8541488944037308,0.0715029255134604,5
attention_zm,0.5,123.73526038609205,13.507810069809317,5,743.0113474204175,43.74714674781268,5,0.19056885710575372,0.005749443244784775,5,0.9320564516129032,0.008231326717433596,5,0.8738002593685543,0.014832701855827914,5,225.67824851199984,224.01577572043917,5,0.24555176246122862,0.11282319344243635,5,0.425,0.153256321239941,5,0.8082494800888235,0.3733420124445764,5,0.9464688181877137,0.004597682574003326,5,0.7278113070803304,0.04277180435314467,5,-0.0002557449214302683,2.8880772550342595e-05,5,0.005028593318626957,0.0005677231688795806,5,0.0004404144590117056,5.8018901014723246e-05,5,0.0027460987922301315,0.0003137938119960526,5,0.214132626053066,0.03203935955865862,5,0.3531542338709678,0.00938256380076276,5,0.246508064516129,0.0065827514057335045,5,0.9360917766036525,0.0008486751803281199,5,2.5838072542437622,0.07214541463966047,5,1.2041290613396032,0.021378925500114065,5
attention_zm,0.75,115.58327953320357,26.47894737498781,5,751.4040092995571,27.77469561096801,5,0.18679065732410738,0.012686539685744744,5,0.9268145161290322,0.015768236545470195,5,0.8740816597532362,0.029903542114952893,5,226.41058747172355,218.76094538192916,5,0.24483167142231183,0.10956760338537669,5,0.42625,0.15100186257129414,5,0.8145803447624204,0.40538435275706364,5,0.9495108483299133,0.0035930544016535937,5,0.7147326874156151,0.045108263772589655,5,-0.00023519796281920824,1.018549278924792e-05,5,0.005202909884298351,0.0008213787577114324,5,0.0003411478218670604,8.615244878182389e-05,5,0.0020943850810303958,0.0006446310322439833,5,0.1467762919899917,0.031481975932100226,5,0.34598185483870975,0.01903195218549055,5,0.24181350806451613,0.013258308865282236,5,0.9373547373721676,0.0013419706596533756,5,2.6029695196603577,0.10621812119097437,5,1.208262399348761,0.04122294020316651,5
attention_zm,1.0,120.64736653768246,25.92213066606024,5,752.8648980518503,51.02358101734574,5,0.1887298285063887,0.012992830098625445,5,0.9235887096774194,0.02668659229241497,5,0.872986027234985,0.032072641717580244,5,224.43376095891,224.87460385860786,5,0.24547267273443257,0.112991550572426,5,0.426,0.1532140047449971,5,0.8156147400890477,0.3987826798931696,5,0.9486629518770403,0.003803045699277356,5,0.7064451679106681,0.032015720690464045,5,-0.0002455116620514393,4.615821218287388e-06,5,0.005131794340427798,0.0006435770221223029,5,0.0003964623696765792,2.496241292760946e-05,5,0.002624455647767877,0.0004255252601081854,5,0.1743792077346194,0.029811188659882616,5,0.3494264112903226,0.019925204937111744,5,0.2447348790322581,0.014017652537761825,5,0.9366089136792766,0.001316375783868261,5,2.585020973214699,0.09770692296323086,5,1.2044454284444932,0.040302251888258804,5
