iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,capture_rate
0,3200,-50.301070272922516,-0.5030106425285339,-50.301070272922516,-0.5030106425285339,0.0,50.301070272922516,0.5030106425285339,0.0,0.0,0.6367606526613235,0.014375,0.00878259138049701,-77.31091608479619,-0.7731091608479619,-77.31091608479619,-0.7731091608479619,100.0,0.963109169639647,0.02,0.01018792042200651,77.31091608479619,0.0,32,-0.001765521030950623,0.49627975523471834,1.608485496044159,0.2302895039319992,0.0380086176097393,0.0380086176097393,0.13388762027025222,0.000939917838695707,6.249999860301614e-05,-0.06773459911346436,1.0,0.01,0.0007,0,0.28125
1,6400,-23.168687611818314,-0.23168693147599698,-23.168687611818314,-0.23168693147599698,0.0,23.168687611818314,0.23168693147599698,27.132382661104202,0.27132371105253694,0.6404369366168976,0.041875,0.02552673563078844,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0010301335086502661,0.7034218966960907,1.6019976615905762,0.33468393981456757,0.0298241863027215,0.0298241863027215,0.14130223467946051,0.0010633784018865935,0.0005937499925494194,0.08923941850662231,1.0,0.009985576923076923,0.0006988942307692308,0,0.34375
2,9600,-26.921744525432587,-0.26921745464205743,-26.921744525432587,-0.26921745464205743,0.0,26.921744525432587,0.26921745464205743,23.37932574748993,0.23379318788647646,0.6217174607515336,0.03625,0.02235284559568168,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.000745501976120666,0.6392558097839356,1.5924137353897094,0.30300420224666597,0.029514926299452782,0.029514926299452782,0.12869802936911584,0.0009367463753735865,0.0,-0.017291665077209473,1.0,0.009971153846153847,0.0006977884615384615,0,0.28125
3,12800,-15.483214750885963,-0.15483213849365712,-15.483214750885963,-0.15483213849365712,0.0,15.483214750885963,0.15483213849365712,34.81785552203655,0.34817850403487677,0.5604571422934532,0.0415625,0.026634823138374873,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.0007975409835586867,0.5021626830101014,1.5892443537712098,0.23446012139320374,0.029284527897834776,0.029284527897834776,0.13268799036741258,0.0011825761550429068,0.0012187500426080078,0.15659087896347046,1.0,0.00995673076923077,0.0006966826923076923,0,0.3125
4,16000,-30.962465703487396,-0.30962461821734905,-30.962465703487396,-0.30962461821734905,0.0,30.962465703487396,0.30962461821734905,19.33860456943512,0.19338602431118485,0.5996246230602265,0.03,0.01875439998079505,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0013673508984987314,0.32307247817516327,1.5784082293510437,0.1444758653640747,0.03801034539937973,0.03801034539937973,0.13381810188293458,0.0015936850144502024,0.009479166939854622,0.18040961027145386,1.0,0.009942307692307693,0.0006955769230769231,0,0.40625
5,19200,15.106310971081257,0.1510631062835455,15.106310971081257,0.1510631062835455,0.0,0.0,0.0,65.40738124400377,0.6540737488120794,0.4576868963241577,0.061875,0.04244738712821655,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0008343374166676299,0.627538013458252,1.5629003763198852,0.2974183768033981,0.021389850974082948,0.021389850974082948,0.17546765729784966,0.0013429777012792248,0.002750000008381903,0.19952303171157837,1.0,0.009927884615384616,0.0006944711538461538,0,0.5625
6,22400,6.1191538870334625,0.06119151823222637,6.1191538870334625,0.06119151823222637,0.0,0.0,0.0,56.42022415995598,0.5642021607607602,0.4444334948062897,0.0515625,0.035697385989318216,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.0016053511678862265,0.42564699053764343,1.5439340710639953,0.19591241478919982,0.04489725865423679,0.04489725865423679,0.15380724221467973,0.0020706085895657845,0.015135416455450468,0.3385204076766968,1.0,0.00991346153846154,0.0006933653846153846,0,0.5625
7,25600,3.126872941851616,0.03126874439418316,3.126872941851616,0.03126874439418316,0.0,0.0,0.0,53.42794321477413,0.534279386922717,0.42435626208782196,0.0465625,0.03269020626324812,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.001341955923320115,0.3425240725278854,1.543980848789215,0.1546361580491066,0.038258168287575244,0.038258168287575244,0.11319497227668762,0.0029850346021707817,0.02718749988125637,0.4374408721923828,1.0,0.009899038461538463,0.0006922596153846154,0,0.4375
8,28800,-42.95318141579628,-0.42953180193901064,-42.95318141579628,-0.42953180193901064,0.0,42.95318141579628,0.42953180193901064,7.347888857126236,0.07347884058952325,0.5632818108797073,0.014375,0.009195398999692028,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.0002517369598571406,0.14367532432079316,1.5456830501556396,0.056307443603873256,0.029129178449511527,0.029129178449511527,0.11466658338904381,0.0009663991040729438,0.004395833352464251,0.6589615345001221,1.0,0.009884615384615384,0.0006911538461538461,0,0.21875
9,32000,-9.483169369399548,-0.09483169272542,-9.483169369399548,-0.09483169272542,0.0,9.483169369399548,0.09483169272542,40.81790090352297,0.40817894980311387,0.46295669943094253,0.0378125,0.02584662964714418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.0006892135652888154,0.3315539538860321,1.5458060145378112,0.14983035922050475,0.022357940673828125,0.022357940673828125,0.09903129413723946,0.0019556717954406057,0.006437500007450581,0.5493568181991577,1.0,0.009870192307692307,0.0006900480769230769,0,0.375
10,35200,34.950806707143784,0.34950809448957443,34.950806707143784,0.34950809448957443,0.0,0.0,0.0,85.2518769800663,0.8525187370181083,0.4748669099807739,0.0834375,0.056572901212549195,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,352,-0.0014629379207812044,0.7187791764736176,1.5431174635887146,0.342718043923378,0.04712979532778263,0.04712979532778263,0.2228061318397522,0.0016587156787868577,0.013697916548699141,0.39613455533981323,1.0,0.00985576923076923,0.0006889423076923077,0,0.5625
11,38400,25.63767348229885,0.25637673020362856,25.63767348229885,0.25637673020362856,0.0,0.0,0.0,75.93874375522137,0.7593873727321625,0.3961232677102089,0.06625,0.047452829941482935,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,384,-0.00044684835880342,0.4428830683231354,1.5421077966690064,0.2058182716369629,0.02826077938079834,0.02826077938079834,0.1686069242656231,0.0012390465613866682,0.00245833327062428,0.5059582591056824,1.0,0.009841346153846154,0.0006878365384615384,0,0.59375
12,41600,9.164639450609684,0.09164637997746468,9.164639450609684,0.09164637997746468,0.0,0.0,0.0,59.4657097235322,0.5946570225059986,0.4764786273241043,0.0578125,0.039155663299221925,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,416,-0.0002664866863366644,0.430308136343956,1.525466537475586,0.19989693760871888,0.023576187528669836,0.023576187528669836,0.11436333805322647,0.0005777360460347913,0.0,0.5061830282211304,1.0,0.009826923076923077,0.0006867307692307692,0,0.5
13,44800,27.24378877878189,0.27243789583444594,27.24378877878189,0.27243789583444594,0.0,0.0,0.0,77.5448590517044,0.7754485383629799,0.423812110722065,0.070625,0.04960275268636645,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,448,-0.000988945787888973,0.3489938020706177,1.5402122378349303,0.1583946242928505,0.035993592068552974,0.035993592068552974,0.15066942423582078,0.0014270608629891007,0.006208333128597587,0.5763864517211914,1.0,0.0098125,0.000685625,0,0.59375
14,48000,10.535838909447193,0.1053583449870348,10.535838909447193,0.1053583449870348,0.0,0.0,0.0,60.83690918236971,0.6083689875155687,0.4440166601538658,0.0559375,0.03873743395317865,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,480,-0.0005879746275895715,0.2583564341068268,1.5404284238815307,0.11349700763821602,0.03724950589239597,0.03724950589239597,0.14804319776594638,0.0006316660972520876,0.0,0.6797832250595093,1.0,0.009798076923076923,0.0006845192307692307,0,0.5625
15,51200,76.898966640234,0.7689896965026856,76.898966640234,0.7689896965026856,0.0,0.0,0.0,127.20003691315651,1.2720003390312193,0.3303853058815002,0.1109375,0.08338749647155333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,512,-0.0022244631057061425,0.43137810528278353,1.519622766971588,0.19859713017940522,0.05373866856098175,0.05373866856098175,0.1979386955499649,0.0023679055484540903,0.024572916713077576,0.5817914009094238,1.0,0.009783653846153846,0.0006834134615384615,0,0.71875
16,54400,59.9651175737381,0.5996511314809322,59.9651175737381,0.5996511314809322,0.0,0.0,0.0,110.26618784666061,1.1026617740094662,0.39034887731075285,0.1,0.0719243936769471,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,544,-0.0021235699364527518,0.3748317092657089,1.5039459705352782,0.1705998882651329,0.052760175243020055,0.052760175243020055,0.19333480149507523,0.0028831045427074316,0.039750000555068256,0.5831083059310913,1.0,0.00976923076923077,0.0006823076923076923,0,0.6875
17,57600,86.14098158478737,0.8614098121225834,86.14098158478737,0.8614098121225834,0.0,0.0,0.0,136.44205185770988,1.3644204546511172,0.35046518459916115,0.1221875,0.09047808221451273,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,576,-0.001624153497667713,0.3948355257511139,1.483535885810852,0.18132200241088867,0.06073913667351007,0.06073913667351007,0.2239707812666893,0.004571934253909352,0.04086458310484886,0.5835375189781189,1.0,0.009754807692307693,0.000681201923076923,0,0.71875
18,60800,99.43547394871712,0.9943547673523426,99.43547394871712,0.9943547673523426,0.0,0.0,0.0,149.73654422163963,1.4973654098808766,0.38002023607492447,0.1384375,0.10031555797598021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,608,-0.0014574626158573522,0.3467883229255676,1.488624382019043,0.15743692517280578,0.0556170616298914,0.0556170616298914,0.14297149777412416,0.0025991389135021706,0.018635416682809592,0.5720019340515137,1.0,0.009740384615384616,0.0006800961538461538,0,0.78125
19,64000,139.08195784687996,1.3908195650577546,139.08195784687996,1.3908195650577546,0.0,0.0,0.0,189.38302811980247,1.8938302075862885,0.2741804438829422,0.1675,0.1314570481787963,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,640,-0.0016317660217948671,0.3036661297082901,1.4837210059165955,0.13577068597078323,0.057627389952540395,0.057627389952540395,0.19349224641919135,0.0027127728979401146,0.022031249768042473,0.5954692363739014,1.0,0.00972596153846154,0.0006789903846153847,0,0.8125
20,67200,111.74881196022034,1.117488107532263,111.74881196022034,1.117488107532263,0.0,0.0,0.0,162.04988223314285,1.6204987500607968,0.3037618947029114,0.143125,0.10977848070380514,552.5667473971844,5.525667473971843,552.5667473971844,5.525667473971843,100.0,0.11433255958138033,0.565,0.5070299661819561,0.0,629.8776634819806,672,-0.0014029057870308392,0.23034380972385407,1.4867947101593018,0.09932993501424789,0.04211375489830971,0.04211375489830971,0.12538460195064544,0.002657730237115841,0.00964583329478046,0.6498590707778931,1.0,0.009711538461538462,0.0006778846153846154,0,0.75
21,70400,192.59724230319262,1.9259724880754947,192.59724230319262,1.9259724880754947,0.0,0.0,0.0,242.89831257611513,2.4289831306040286,0.27340251445770264,0.2209375,0.17350169918118116,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,704,-0.0012219102229767743,0.24110976606607437,1.4640236377716065,0.10513616651296616,0.031936094351112845,0.031936094351112845,0.19109502173960208,0.0015374048816745943,0.006687499955296517,0.5611792802810669,1.0,0.009697115384615386,0.0006767788461538462,0,0.96875
