iter,global_step,episode_return,mean_step_reward,episode_return_gap_to_zero,episode_return_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,td_loss,q_tot_mean,target_mean,grad_norm,mixer_w_min,epsilon,updates,buffer_size,lr,seed,alpha,env_alpha,capture_rate,detection_event_rate,capture_without_recent_detection_rate,window_open,steps_since_detection
6874,220000,-46.49381911754608,-0.45780965391397477,46.49381911754608,19.259004950523376,3.961107356262207,0.0011,0.00022172469188990924,-35.928464118391275,-0.35928464118391273,-35.928464118391275,-0.35928464118391273,100.0,3.4928464555740355,0.0,0.0,35.928464118391275,18.287832617759705,2176,0.555407800912857,-1.2128003473997115,-1.2123750306129455,68.02852503967286,7.450580596923828e-09,0.050000000000000044,6719,100000,0.0005,9,0.0,0.0,0.03125,0.23695,0.0,0.26965,32.63665
7499,240000,-29.991312384605408,-0.4232976101398468,29.991312384605408,35.76151168346405,3.7887257205963136,0.0054,0.0011276486303599714,-29.936518345028162,-0.2993651834502816,-29.936518345028162,-0.2993651834502816,100.0,2.893651813864708,0.0,0.0,29.936518345028162,24.279778391122818,2400,0.5475330299139023,-1.2864887946724892,-1.2877925496339797,66.52027327270508,3.5390257835388184e-08,0.050000000000000044,7344,100000,0.0005,9,0.0,0.0,0.044642857142857144,0.2595,0.0,0.2906,32.0207
8124,260000,-49.61797070503235,-0.4321542989253998,49.61797070503235,16.13485336303711,4.102286675643921,0.00395,0.0007741626943181316,-18.231165550649166,-0.18231165550649167,-18.231165550649166,-0.18231165550649167,100.0,1.7231165352463722,0.0,0.0,18.231165550649166,35.985131185501814,2592,0.7183938847780228,-1.7377335501194,-1.7387070331335068,76.69081334228515,7.450580596923828e-09,0.050000000000000044,7969,100000,0.0005,9,0.0,0.0,0.03125,0.3072,0.0,0.34125,26.43755
8749,280000,-43.1190781891346,-0.38261713293790817,43.1190781891346,22.63374587893486,3.5218213788986206,0.00385,0.0008514268206095626,-27.087615866214037,-0.2708761586621404,-27.087615866214037,-0.2708761586621404,100.0,2.608761582374573,0.0,0.0,27.087615866214037,27.128680869936943,2784,0.7513076094865799,-1.405324266719818,-1.4065414116621018,76.10785780029296,3.725290298461914e-09,0.050000000000000044,8594,100000,0.0005,9,0.0,0.0,0.036458333333333336,0.3374,0.0,0.3725,26.4334
9374,300000,-30.149615615606308,-0.333583218061924,30.149615615606308,35.60320845246315,3.3899445980072023,0.00705,0.0016059428183217432,-19.518909361213446,-0.19518909361213446,-19.518909361213446,-0.19518909361213446,100.0,1.8518909904360772,0.0,0.0,19.518909361213446,34.697387374937534,2976,0.8519276829719543,-1.6063768558979035,-1.606125953912735,80.65337133483887,0.0,0.050000000000000044,9219,100000,0.0005,9,0.0,0.0,0.046875,0.393,0.0,0.41735,24.21875
9999,320000,-36.75846853852272,-0.3250122433304787,36.75846853852272,28.994355529546738,3.059738426208496,0.00505,0.0012439225067799103,-14.662664208561182,-0.14662664208561182,-14.662664208561182,-0.14662664208561182,100.0,1.3662663961574435,0.0,0.0,14.662664208561182,39.5536325275898,3200,0.9112383074045182,-1.3939392667531967,-1.3965840546369552,82.28910385131836,2.9802322387695312e-08,0.050000000000000044,9844,100000,0.0005,9,0.0,0.0,0.04017857142857143,0.46055,0.0,0.48825,20.8297
10624,340000,-26.753742158412933,-0.2946147637605667,26.753742158412933,38.999081909656525,2.8770840354919436,0.0033,0.0008511551387049778,29.180322444997728,0.2918032244499773,29.180322444997728,0.2918032244499773,100.0,1.9089254936948419,0.05,0.017188477363334353,0.0,83.39661918114871,3392,0.9857560248374939,-1.0160998103141785,-1.0137790871024133,84.83398306274414,2.9802322387695312e-08,0.050000000000000044,10469,100000,0.0005,9,0.0,0.0,0.03125,0.4712,0.0,0.50505,17.28155
11249,360000,-33.532212644815445,-0.35792298892736435,33.532212644815445,32.22061142325401,3.259661893081665,0.00275,0.0006455911452658757,-13.09640126209706,-0.1309640126209706,-13.09640126209706,-0.1309640126209706,100.0,1.2096400837227703,0.0,0.0,13.09640126209706,41.11989547405392,3584,1.0194967855453492,-0.4278819489359856,-0.42653992207050323,89.59648841552735,7.450580596923828e-09,0.050000000000000044,11094,100000,0.0005,9,0.0,0.0,0.020833333333333332,0.45025,0.0,0.4867,19.5657
11874,380000,-24.707807391881943,-0.3237921317338944,24.707807391881943,41.045016676187515,3.1520174354553223,0.0053,0.0012764878959181892,-12.782741244882345,-0.12782741244882345,-12.782741244882345,-0.12782741244882345,100.0,1.1782741221785544,0.0,0.0,12.782741244882345,41.433555491268635,3776,0.9912435050964356,-0.13809883090257644,-0.1417306173682213,89.86801854858399,4.470348358154297e-08,0.050000000000000044,11719,100000,0.0005,9,0.0,0.0,0.026041666666666668,0.4779,0.0,0.5028,19.6832
12499,400000,-31.403779059648514,-0.24782210351228715,31.403779059648514,34.349045008420944,3.1079680856704712,0.01215,0.0029576665997922353,-19.82845350727439,-0.1982845350727439,-19.82845350727439,-0.1982845350727439,100.0,1.882845358401537,0.0,0.0,19.82845350727439,34.38784322887659,4000,1.1040996599197388,0.7242880278587341,0.7267849644303321,97.88310037841796,7.12461769580841e-08,0.050000000000000044,12344,100000,0.0005,9,0.0,0.0,0.0625,0.4779,0.0,0.498,20.1994
