=============================
Job ID:       599229
Array Task:   13
Node:         evc39
GPU:          0
Start time:   Tue Apr 28 15:19:11 EDT 2026
=============================
Running: PCP HetNet r=1.5 s=1/i=3 --discrete
Using device: cpu
Env: PCP | 1S + 3I | world=5.0 | max_steps=80

  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7732 reward_min=-1.5923 reward_max=1.6202
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6906 reward_global_std=0.3862
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6960 reward_min=-1.0711 reward_max=-0.3908
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6960 reward_min=-1.0733 reward_max=-0.3908
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6958 reward_min=-1.0757 reward_max=-0.3906
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7596 reward_min=-1.4761 reward_max=1.6765
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7038 reward_global_std=0.3131
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6847 reward_min=-1.0792 reward_max=-0.3102
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6846 reward_min=-1.0800 reward_max=-0.3099
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6845 reward_min=-1.0805 reward_max=-0.3083
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7361 reward_min=-1.4343 reward_max=1.6098
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6812 reward_global_std=0.3541
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6463 reward_min=-1.0287 reward_max=1.4886
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6461 reward_min=-1.0296 reward_max=1.4896
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6459 reward_min=-1.0302 reward_max=1.4898
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7061 reward_min=-1.3623 reward_max=1.5961
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6544 reward_global_std=0.3605
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6876 reward_min=-1.1085 reward_max=-0.3318
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6875 reward_min=-1.1071 reward_max=-0.3316
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6874 reward_min=-1.1050 reward_max=-0.3306
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7114 reward_min=-1.4363 reward_max=1.5423
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6741 reward_global_std=0.3695
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6887 reward_min=-1.0818 reward_max=-0.2396
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6885 reward_min=-1.0822 reward_max=-0.2381
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6884 reward_min=-1.0825 reward_max=-0.2363
