iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,capture_rate
10,8800,-84.47556352615356,-0.8447555193305015,-84.47556352615356,-0.8447555193305015,0.0,84.47556352615356,0.8447555193305015,-66.26871800422668,-0.6626870748400688,0.9347555255889892,0.01,0.005168611676121583,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,-0.00023496729244172344,0.4321429133415222,1.6076411485671998,0.2057887315750122,0.05757916867733002,0.05757916867733002,0.4233551502227783,9.903127943289291e-06,0.0,-0.16028344631195068,1.0,0.0062499999999999995,0.0004125,0,0.125
11,9600,-42.88507920503616,-0.42885076463222505,-42.88507920503616,-0.42885076463222505,0.0,42.88507920503616,0.42885076463222505,-24.678233683109283,-0.2467823201417923,0.6063507723808289,0.01875,0.01167241945058486,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.00011046242850714094,0.2606313645839691,1.6076718807220458,0.12076015174388885,0.041971078515052794,0.041971078515052794,0.2002810388803482,8.45320760163304e-06,0.0,-0.020059585571289062,1.0,0.005875,0.00038375000000000003,0,0.375
12,10400,-38.89483094215393,-0.3889482891559601,-38.89483094215393,-0.3889482891559601,0.0,38.89483094215393,0.3889482891559601,-20.68798542022705,-0.20687984466552733,0.5539482980966568,0.0175,0.011261635938232154,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,104,-0.00017689057099055106,0.33488376140594484,1.6079251289367675,0.15842140316963196,0.06074907258152962,0.06074907258152962,0.19143414199352266,6.660614599240944e-06,0.0,-0.029651761054992676,1.0,0.0055,0.000355,0,0.25
13,11200,-51.636481046676636,-0.5163647854328155,-51.636481046676636,-0.5163647854328155,0.0,51.636481046676636,0.5163647854328155,-33.429635524749756,-0.33429634094238275,0.6063647890090942,0.01,0.006225236053741331,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,112,-0.00022937212034594977,0.1535375863313675,1.607585573196411,0.06830054372549058,0.07906859666109085,0.07906859666109085,0.20738378167152405,7.3560776854719736e-06,0.0,0.4037659764289856,1.0,0.005125,0.00032625000000000004,0,0.25
14,12000,-54.96135187149048,-0.5496135538816452,-54.96135187149048,-0.5496135538816452,0.0,54.96135187149048,0.5496135538816452,-36.7545063495636,-0.3675451093912125,0.6771135580539703,0.01375,0.008198610007037768,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,120,-0.0001470042863415344,0.2891955733299255,1.60750470161438,0.13681513369083403,0.0550102174282074,0.0550102174282074,0.23186476826667785,6.6314269815848094e-06,0.0,0.19358736276626587,1.0,0.004749999999999999,0.00029749999999999997,0,0.25
15,12800,-71.16833567619324,-0.7116833364963532,-71.16833567619324,-0.7116833364963532,0.0,71.16833567619324,0.7116833364963532,-52.96149015426636,-0.5296148920059205,0.7266833436489105,0.0025,0.0014478624637201162,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-6.791333165878655e-06,0.17350604832172395,1.6072872161865235,0.0797143504023552,0.043061862885952,0.043061862885952,0.2954244017601013,4.123557107504894e-06,0.0,0.28714048862457275,1.0,0.0043749999999999995,0.00026875,0,0.125
16,13600,-62.700214713811874,-0.6270021706819534,-62.700214713811874,-0.6270021706819534,0.0,62.700214713811874,0.6270021706819534,-44.493369191884995,-0.44493372619152066,0.6670021742582322,0.005,0.002999396207881286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,136,-0.0001135909539687674,0.14226445853710173,1.6075376749038697,0.06458848714828491,0.04665388390421867,0.04665388390421867,0.21268709897994995,3.3682036587379115e-06,0.0,0.08908605575561523,1.0,0.004,0.00024000000000000003,0,0.125
17,14400,-33.04642295837402,-0.3304642295837402,-33.04642295837402,-0.3304642295837402,0.0,33.04642295837402,0.3304642295837402,-14.839577436447144,-0.14839578509330748,0.6329642403125763,0.03125,0.019136977545826866,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,144,-4.9382427913435835e-05,0.5655273556709289,1.6074413061141968,0.2768873155117035,0.04464597180485726,0.04464597180485726,0.24161212742328644,2.5329607524327e-06,0.0,0.04317575693130493,1.0,0.003624999999999999,0.00021124999999999996,0,0.25
18,15200,-35.03976818919182,-0.35039767384529114,-35.03976818919182,-0.35039767384529114,0.0,35.03976818919182,0.35039767384529114,-16.83292266726494,-0.1683292293548584,0.5528976786136627,0.02125,0.013684095412500565,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,152,-6.119628781742215e-05,0.2339698076248169,1.607731294631958,0.11169857829809189,0.0585242971777916,0.0585242971777916,0.153343266248703,1.8037097618162079e-06,0.0,0.20852309465408325,1.0,0.0032499999999999994,0.00018250000000000004,0,0.375
19,16000,-58.2057409286499,-0.5820574593544007,-58.2057409286499,-0.5820574593544007,0.0,58.2057409286499,0.5820574593544007,-39.99889540672302,-0.39998901486396793,0.6970574563741684,0.0125,0.007365690509210428,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-9.758168684976809e-05,0.2620584309101105,1.60784592628479,0.12630906999111174,0.05991200059652328,0.05991200059652328,0.2676460981369019,1.6061769940733939e-06,0.0,0.05677926540374756,1.0,0.002875,0.00015375000000000002,0,0.25
20,16800,-9.313836053013802,-0.09313835680484772,-9.313836053013802,-0.09313835680484772,0.0,9.313836053013802,0.09313835680484772,8.893009468913078,0.08893008768558502,0.445638362467289,0.03625,0.02507542753509368,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,168,-2.2401452151843416e-05,0.40040732026100156,1.6081857442855836,0.1961607962846756,0.030814995244145393,0.030814995244145393,0.20388963222503662,7.668046180242527e-07,0.0,0.1823866367340088,1.0,0.0024999999999999988,0.000125,0,0.5
21,17600,-34.37626504898071,-0.34376267552375794,-34.37626504898071,-0.34376267552375794,0.0,34.37626504898071,0.34376267552375794,-16.169419527053833,-0.1616942310333252,0.6087626796960831,0.0275,0.017093882365045367,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,176,-1.5411535889153784e-05,0.3329136312007904,1.60788254737854,0.1630246549844742,0.03475976288318634,0.03475976288318634,0.18127261698246003,3.67378102339444e-07,0.0,0.06478583812713623,1.0,0.002125,9.624999999999998e-05,0,0.25
22,18400,-74.69349670410156,-0.746935080587864,-74.69349670410156,-0.746935080587864,0.0,74.69349670410156,0.746935080587864,-56.48665118217468,-0.5648666360974313,0.8619350916147233,0.0125,0.006713445627774083,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,184,-2.0141601278567123e-05,0.39964821338653567,1.6075306177139281,0.1969907909631729,0.04488594830036163,0.04488594830036163,0.3977292776107788,1.792878592254965e-07,0.0,0.06540411710739136,1.0,0.0017499999999999998,6.750000000000007e-05,0,0.125
23,19200,-63.96383571624756,-0.6396384125947953,-63.96383571624756,-0.6396384125947953,0.0,63.96383571624756,0.6396384125947953,-45.75699019432068,-0.4575699681043625,0.6546384221315384,0.0025,0.0015109041144949662,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-1.1211713364644992e-05,0.09425210803747178,1.6079674243927002,0.044903887808322905,0.03689143434166908,0.03689143434166908,0.22496775388717652,5.196417003361376e-08,0.0,0.48631274700164795,1.0,0.0013749999999999995,3.875000000000005e-05,0,0.125
24,20000,-76.32712173461914,-0.7632712179422378,-76.32712173461914,-0.7632712179422378,0.0,76.32712173461914,0.7632712179422378,-58.12027621269226,-0.581202773451805,0.7532712191343307,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200,-2.22328310535147e-06,0.1823084533214569,1.6077210426330566,0.08954428285360336,0.04524357616901398,0.04524357616901398,0.34679744839668275,4.711719403527326e-09,0.0,0.08942908048629761,1.0,0.0009999999999999992,1.0000000000000026e-05,0,0.0
