iter,global_step,episode_return,mean_step_reward,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,lr,seed
0,400,-663.9154205322266,-6.6391551971435545,4,-0.0021087184178061325,5204.423858642578,2.197079136967659,2602.1878204345703,50.57203657925129,0.00012368867163562076,0.0,-0.007990360260009766,1.0,0.0005,0
1,800,-619.1513519287109,-6.191514043807984,8,-4.197947629114296e-05,4372.275253295898,2.196842908859253,2186.115623474121,70.31793344020844,2.6264637622161282e-05,0.0,-0.00282132625579834,1.0,0.0005,0
2,1200,-486.7176971435547,-4.867177047729492,12,-0.0003854623442931526,2775.7264099121094,2.196795627474785,1387.8408508300781,56.564056634902954,1.069972296908972e-05,0.0,0.01299893856048584,1.0,0.0005,0
3,1600,-487.92578125,-4.879257564544678,16,-0.0006406338853017779,2689.078414916992,2.1965140253305435,1344.5166015625,53.62493443489075,1.591257084421945e-05,0.0,0.0011597275733947754,1.0,0.0005,0
4,2000,-541.6576309204102,-5.416576933860779,20,-0.0007386320442064331,3452.5116577148438,2.1964931041002274,1726.2331237792969,57.24194860458374,2.647514225285382e-05,0.0,0.010239183902740479,1.0,0.0005,0
5,2400,-681.2720642089844,-6.812720813751221,24,-0.0001466531902421242,4884.304992675781,2.1964912712574005,2442.13037109375,99.2198156118393,8.030719318104692e-06,0.0,0.004365086555480957,1.0,0.0005,0
