iter,global_step,episode_return,mean_step_reward,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,lr,seed
0,3200,-493.69563388824463,-4.936956257820129,32,-0.0021835905897901855,0.5983067393302918,2.196263647079468,0.27500714361667633,0.03562844730913639,0.03562844730913639,0.23645014464855194,0.0009209884967277014,0.0,-0.31959784030914307,1.0,0.0007,0
1,6400,-617.5411739349365,-6.175411863327026,64,-0.0022450888138649816,0.5238600134849548,2.1895344257354736,0.23778957426548003,0.04474514648318291,0.04474514648318291,0.3687407821416855,0.001351149987022312,0.00013541666558012367,0.05513870716094971,1.0,0.0007,0
2,9600,-600.0523872375488,-6.00052396774292,96,-0.0015322658722382698,0.4479713439941406,2.1751084327697754,0.20070232301950455,0.04538872428238392,0.04538872428238392,0.37218230664730073,0.0013764860734233604,0.0017604166641831398,0.15833324193954468,1.0,0.0007,0
3,12800,-562.7726793289185,-5.627726893424988,128,-0.0015101030788699176,0.3766916960477829,2.163647747039795,0.16519926637411117,0.04052476994693279,0.04052476994693279,0.31808704435825347,0.0015887697856676922,0.00853124976856634,0.22987091541290283,1.0,0.0007,0
4,16000,-598.2422885894775,-5.982422852516175,160,-0.0018155027677622115,0.39687268137931825,2.1607055187225344,0.17501378208398818,0.05088907293975353,0.05088907293975353,0.3829135626554489,0.0008908177956989995,0.001385416672565043,0.2248592972755432,1.0,0.0007,0
5,19200,-577.7064504623413,-5.7770642566680905,192,-0.0017232783147292708,0.3481189966201782,2.1652719259262083,0.1506835013628006,0.04156638532876968,0.04156638532876968,0.3415552154183388,0.00145936640001382,0.0050208332482725385,0.21178162097930908,1.0,0.0007,0
6,22400,-527.9402961730957,-5.279403052330017,224,-0.0027907944445807686,0.28739437460899353,2.1619713306427,0.1192866787314415,0.05387042351067066,0.05387042351067066,0.3044678300619125,0.0018033709464369354,0.009322916716337204,0.09674406051635742,1.0,0.0007,0
7,25600,-527.2591919898987,-5.272591905593872,256,-0.0015685232345713728,0.2281343162059784,2.1643176555633543,0.09085545688867569,0.04122798964381218,0.04122798964381218,0.2746063366532326,0.0009185494694982727,0.0,0.010708808898925781,1.0,0.0007,0
8,28800,-477.3335237503052,-4.773334951400757,288,-0.0018083717489304264,0.1260099321603775,2.1567612886428833,0.03962898291647434,0.0375091802328825,0.0375091802328825,0.20231892615556718,0.000977017250262038,3.124999930150807e-05,-0.034909963607788086,1.0,0.0007,0
9,32000,-527.3209686279297,-5.273209462165832,320,-0.0016399683372192442,0.12967201992869376,2.155655932426453,0.04163948316127062,0.04196072146296501,0.04196072146296501,0.23349563181400299,0.0010028749475176034,0.0023333333316259085,0.09698426723480225,1.0,0.0007,0
10,35200,-536.6213684082031,-5.366213607788086,352,-0.0015790124356669822,0.13433411940932274,2.1489890098571776,0.04409815818071365,0.03927605412900448,0.03927605412900448,0.23596382439136504,0.000879235463799822,0.0007291666872333736,-0.08676886558532715,1.0,0.0007,0
11,38400,-520.7415866851807,-5.207415738105774,384,-0.002091012743127152,0.10807621702551842,2.139922785758972,0.030547868087887765,0.04611832909286022,0.04611832909286022,0.1734445720911026,0.0010539346258164298,0.0021979166893288495,-0.029996633529663086,1.0,0.0007,0
