[setup] Required Python imports are available.
[setup] Required Python imports are available.
=== qmix_pcp_full task 52/70: graph seed2 (git 5e3950a) ===
Run dir: runs/qmix_pcp_full_20260627_165504/graph/seed2  Start: Sat Jun 27 17:15:23 EDT 2026
Sat Jun 27 17:15:23 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           Off |   00000000:3B:00.0 Off |                    0 |
| N/A   32C    P0             37W /  250W |       0MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[env] kind=pcp name=pcp n_agents=5 obs_dim=5 action_dim=5 state_dim=13 num_envs=32
[train] QMIX start: total_iters=62500 B=32 device=cuda:0 seed=2 warmup=5000 batch=256 target_update(updates)=200 render=off
step=  400000 ep_ret=-37.646 eval_ret=-22.487 pursuer_target_distance=3.155 capture=0.004 cap=0.031 td_loss=1.4237 q_tot=+10.641 tgt=+10.641 gnorm=149.74 w_min=4.47e-08 eps=0.050 buf=100000 upd=12344 seed=2
step=  420000 ep_ret=-35.527 eval_ret=-20.392 pursuer_target_distance=3.406 capture=0.002 cap=0.026 td_loss=1.2999 q_tot=+10.357 tgt=+10.361 gnorm=137.67 w_min=1.49e-08 eps=0.050 buf=100000 upd=12969 seed=2
step=  440000 ep_ret=-38.934 eval_ret=-28.053 pursuer_target_distance=3.369 capture=0.002 cap=0.010 td_loss=1.3004 q_tot=+10.568 tgt=+10.562 gnorm=141.97 w_min=3.73e-08 eps=0.050 buf=100000 upd=13594 seed=2
step=  460000 ep_ret=-24.711 eval_ret=-25.544 pursuer_target_distance=3.012 capture=0.004 cap=0.026 td_loss=1.2637 q_tot=+9.964 tgt=+9.961 gnorm=144.03 w_min=3.35e-08 eps=0.050 buf=100000 upd=14219 seed=2
step=  480000 ep_ret=-38.698 eval_ret=-30.607 pursuer_target_distance=3.004 capture=0.003 cap=0.018 td_loss=1.0950 q_tot=+10.040 tgt=+10.038 gnorm=134.33 w_min=1.21e-08 eps=0.050 buf=100000 upd=14844 seed=2
step=  500000 ep_ret=-23.610 eval_ret=-32.463 pursuer_target_distance=3.039 capture=0.003 cap=0.031 td_loss=1.0428 q_tot=+10.840 tgt=+10.836 gnorm=131.02 w_min=1.58e-08 eps=0.050 buf=100000 upd=15469 seed=2
step=  520000 ep_ret=-1.484 eval_ret=+14.928 pursuer_target_distance=3.049 capture=0.007 cap=0.047 td_loss=1.0909 q_tot=+11.893 tgt=+11.887 gnorm=130.64 w_min=2.98e-08 eps=0.050 buf=100000 upd=16094 seed=2
step=  540000 ep_ret=-32.930 eval_ret=-23.568 pursuer_target_distance=3.035 capture=0.002 cap=0.036 td_loss=1.2993 q_tot=+13.258 tgt=+13.257 gnorm=153.74 w_min=7.45e-09 eps=0.050 buf=100000 upd=16719 seed=2
step=  560000 ep_ret=-54.050 eval_ret=-23.127 pursuer_target_distance=2.974 capture=0.005 cap=0.049 td_loss=1.2335 q_tot=+14.180 tgt=+14.172 gnorm=150.61 w_min=2.98e-08 eps=0.050 buf=100000 upd=17344 seed=2
step=  580000 ep_ret=-42.645 eval_ret=-28.323 pursuer_target_distance=3.266 capture=0.005 cap=0.036 td_loss=1.3501 q_tot=+13.844 tgt=+13.845 gnorm=152.49 w_min=1.49e-08 eps=0.050 buf=100000 upd=17969 seed=2
step=  600000 ep_ret=-32.635 eval_ret=+7.385 pursuer_target_distance=3.167 capture=0.005 cap=0.047 td_loss=1.4424 q_tot=+13.461 tgt=+13.463 gnorm=157.45 w_min=0.00e+00 eps=0.050 buf=100000 upd=18594 seed=2
step=  620000 ep_ret=-43.373 eval_ret=-25.478 pursuer_target_distance=3.105 capture=0.002 cap=0.026 td_loss=1.5621 q_tot=+13.058 tgt=+13.054 gnorm=166.13 w_min=7.45e-09 eps=0.050 buf=100000 upd=19219 seed=2
step=  640000 ep_ret=-28.776 eval_ret=-37.766 pursuer_target_distance=3.110 capture=0.002 cap=0.031 td_loss=1.2280 q_tot=+11.846 tgt=+11.843 gnorm=139.92 w_min=3.73e-09 eps=0.050 buf=100000 upd=19844 seed=2
step=  660000 ep_ret=-41.579 eval_ret=-21.305 pursuer_target_distance=3.501 capture=0.006 cap=0.062 td_loss=1.3152 q_tot=+11.219 tgt=+11.219 gnorm=138.10 w_min=2.24e-08 eps=0.050 buf=100000 upd=20469 seed=2
step=  680000 ep_ret=-32.595 eval_ret=-32.450 pursuer_target_distance=3.226 capture=0.005 cap=0.031 td_loss=1.2798 q_tot=+10.873 tgt=+10.871 gnorm=135.24 w_min=5.59e-09 eps=0.050 buf=100000 upd=21094 seed=2
step=  700000 ep_ret=-34.805 eval_ret=-32.225 pursuer_target_distance=3.096 capture=0.003 cap=0.036 td_loss=1.2416 q_tot=+10.843 tgt=+10.839 gnorm=135.20 w_min=3.73e-09 eps=0.050 buf=100000 upd=21719 seed=2
step=  720000 ep_ret=-34.083 eval_ret=-25.891 pursuer_target_distance=3.343 capture=0.004 cap=0.040 td_loss=1.3346 q_tot=+10.781 tgt=+10.779 gnorm=141.33 w_min=0.00e+00 eps=0.050 buf=100000 upd=22344 seed=2
step=  740000 ep_ret=-19.866 eval_ret=-29.193 pursuer_target_distance=2.978 capture=0.005 cap=0.062 td_loss=1.4687 q_tot=+10.728 tgt=+10.729 gnorm=150.40 w_min=5.22e-08 eps=0.050 buf=100000 upd=22969 seed=2
