iter,global_step,episode_return,mean_step_reward,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,lr,seed
60,195200,-491.20356702804565,-4.912035713195801,1952,-0.0001643725478150948,2463.8739318847656,2.1115438491106033,1231.9156951904297,65.52800291404128,0.0005189923014092283,0.0,-0.0018100738525390625,1.0,0.0005,2
61,198400,-471.61459589004517,-4.7161460828781125,1984,-0.0005644225531886704,2238.5929107666016,2.1098721772432327,1119.274772644043,63.35806203028187,0.0006210495644160332,0.0004427083367772866,-0.0019310712814331055,1.0,0.0005,2
62,201600,-478.77183628082275,-4.787718496322632,2016,5.739510143637494e-05,2403.357376098633,2.122169628739357,1201.6575012207031,63.76367224100977,0.0006782155824117792,0.0,-0.0020803213119506836,1.0,0.0005,2
63,204800,-455.0403747558594,-4.550403699874878,2048,-8.917421147414117e-05,2006.3374481201172,2.108618751168251,1003.1475448608398,60.67343745799735,0.0005415671366796734,0.0,-0.002595663070678711,1.0,0.0005,2
64,208000,-446.6369524002075,-4.466369733810425,2080,-0.00016233580859381647,1948.255241394043,2.115887299180031,974.1062850952148,59.29525030264631,0.0007167764389356621,0.0006510416642413475,-0.002265334129333496,1.0,0.0005,2
65,211200,-479.11856412887573,-4.791185569763184,2112,-0.0004656528533537596,2328.1156158447266,2.1095813661813736,1164.0362243652344,65.2728714584373,0.0009048416759475786,0.00028645833663176745,-0.0018447637557983398,1.0,0.0005,2
66,214400,-465.1983890533447,-4.651983971595764,2144,-0.0006135881691937684,2131.0151977539062,2.118991866707802,1065.4858093261719,62.61323570739478,0.000587292372075065,0.0008072916680248454,-0.0015006065368652344,1.0,0.0005,2
67,217600,-459.9263701438904,-4.599263596534729,2176,-0.0001694255635933395,2130.475311279297,2.1228449046611786,1065.2162551879883,61.086037647444755,0.001207525600648877,0.0038020833308110014,-0.0007877349853515625,1.0,0.0005,2
68,220800,-444.7344388961792,-4.44734447479248,2208,-0.0005852799557310995,1940.0182495117188,2.1183407306671143,969.9873580932617,60.363131078891456,0.0007892299272504072,0.0013020833248447161,-0.0017199516296386719,1.0,0.0005,2
69,224000,-469.2157769203186,-4.692157692909241,2240,0.0002986525681660801,2151.6261825561523,2.123391792178154,1075.792148590088,64.74527240684256,0.0007729229854482437,0.00018229167108074762,-0.0013123750686645508,1.0,0.0005,2
70,227200,-442.87946605682373,-4.428794665336609,2272,-0.00023826957948580585,1868.1571426391602,2.1162678599357605,934.0571708679199,60.04175679758191,0.0005240148137779042,0.0,-0.0018945932388305664,1.0,0.0005,2
71,230400,-456.990647315979,-4.569906587600708,2304,-0.00040865639219767047,2055.5657348632812,2.1119489669799805,1027.7613372802734,63.45774472085759,0.0007851415317651675,0.00020833333474001847,-0.0018110275268554688,1.0,0.0005,2
72,233600,-450.9567437171936,-4.509567592144013,2336,-0.0002677722331978494,1947.2397918701172,2.1060758978128433,973.5985717773438,63.15913232276216,0.0005549709118219701,0.0001302083364862483,-0.002119779586791992,1.0,0.0005,2
73,236800,-459.6949062347412,-4.596949152946472,2368,-0.0002561912824452506,2069.6611709594727,2.1113854944705963,1034.809211730957,64.23472818592563,0.0011669401289970262,0.0039062500291038305,-0.0009310245513916016,1.0,0.0005,2
74,240000,-444.9803948402405,-4.449803881645202,2400,-0.0005703971948092246,1969.2052307128906,2.118138149380684,984.5808715820312,63.27027513412759,0.0003115434998057235,0.00010416666918899864,-0.0005518198013305664,1.0,0.0005,2
75,243200,-485.6838598251343,-4.856838707923889,2432,-5.5622273830602253e-05,2349.9677734375,2.098228469491005,1174.9628143310547,67.03731949115172,0.000804714830338271,0.0,-0.0018509626388549805,1.0,0.0005,2
76,246400,-498.45620822906494,-4.984562067985535,2464,-0.0005827887834310985,2373.475326538086,2.1061716824769974,1186.7160034179688,70.97231244668365,0.0005066342574770728,0.000260416665696539,-0.0010483264923095703,1.0,0.0005,2
77,249600,-466.9723949432373,-4.669724020957947,2496,-0.00017519764275286676,2218.764633178711,2.1128329783678055,1109.3610153198242,67.06236402038485,0.00044367493421821133,0.0,-0.0007975101470947266,1.0,0.0005,2
78,252800,-473.64660453796387,-4.736465945243835,2528,-0.0005974766399141629,2215.4840698242188,2.1042736768722534,1107.7203979492188,65.69882485782728,0.0005338841439772307,0.0004427083440532442,-0.0012663602828979492,1.0,0.0005,2
79,256000,-465.15987396240234,-4.651598916053772,2560,-0.00047798349008498775,2119.9132919311523,2.1136613488197327,1059.935043334961,65.96706397412345,0.0009471789874175275,7.812500189174898e-05,-0.0006722211837768555,1.0,0.0005,2
80,259200,-480.4624366760254,-4.804624190330506,2592,6.925931884005365e-06,2359.391891479492,2.1147899478673935,1179.6748275756836,69.70059607923031,0.001004504075354489,0.0033333333558402956,-0.0011249780654907227,1.0,0.0005,2
81,262400,-426.3478765487671,-4.263478920459748,2624,-0.0004504786668682037,1747.7931365966797,2.097939595580101,873.8751373291016,59.7709456095472,0.0025823697960738233,0.017604166685487144,-0.001104593276977539,1.0,0.0005,2
82,265600,-445.4661478996277,-4.454661328792572,2656,-0.0014616489294319024,1913.5777969360352,2.099079519510269,956.7664489746094,64.96425807289779,0.0014471713848258365,0.008619791522505693,-0.0007687807083129883,1.0,0.0005,2
83,268800,-451.9399399757385,-4.519399285316467,2688,-0.0008751901858010669,2001.7450103759766,2.08179472386837,1000.8508186340332,65.95348496269435,0.0009415853368188561,0.0014583333577320445,-0.0012084245681762695,1.0,0.0005,2
84,272000,-472.86677837371826,-4.728667664527893,2720,-0.00044051338450420974,2125.2030639648438,2.0940986424684525,1062.5801467895508,68.23140760790557,0.0008893749406985999,0.0008854166699165944,-0.0009976625442504883,1.0,0.0005,2
85,275200,-490.32148933410645,-4.903215093612671,2752,-9.45222044990146e-06,2353.3426513671875,2.0728147625923157,1176.6505889892578,72.15480067394674,0.0006490455780301563,2.604166729724966e-05,-0.0009534358978271484,1.0,0.0005,2
86,278400,-457.35773849487305,-4.57357729434967,2784,-0.0006861178487088115,1986.2158889770508,2.0900871604681015,993.086353302002,67.3502300279215,0.0015198230244102202,0.0055989583452173974,-9.97781753540039e-05,1.0,0.0005,2
87,281600,-450.2628927230835,-4.502628879547119,2816,-0.0005287901708350695,1990.5169219970703,2.0897939056158066,995.2370376586914,66.34986199997365,0.0007460211214726933,0.00028645834026974626,-0.0007234811782836914,1.0,0.0005,2
88,284800,-458.74156856536865,-4.587415645122528,2848,-0.0008115941595799869,2034.6476135253906,2.085207462310791,1017.302131652832,65.34228870179504,0.0008645132130602222,0.0010156250282307155,-0.0012865066528320312,1.0,0.0005,2
89,288000,-495.24943923950195,-4.952494316101074,2880,-0.0008994845498333792,2483.3421173095703,2.103214979171753,1241.6491622924805,73.05669649783522,0.0009090700314124754,0.001848958356276853,-0.0009595155715942383,1.0,0.0005,2
90,291200,-490.23364305496216,-4.902336473464966,2912,-0.0004735984604771204,2314.0936584472656,2.1033647805452347,1157.0253372192383,72.04511962691322,0.0009097684159093968,0.0017187500561703928,-0.0006020069122314453,1.0,0.0005,2
91,294400,-420.22134017944336,-4.202213232517242,2944,4.863115666609019e-05,1671.1648712158203,2.104279860854149,835.5614433288574,59.715536774136126,0.0007549540116549211,0.0007552083552582189,-0.001181483268737793,1.0,0.0005,2
92,297600,-474.2338628768921,-4.742338604927063,2976,2.927188001189407e-05,2126.4919967651367,2.1090050488710403,1063.2249221801758,68.696212164592,0.00041871710084310436,0.0,-0.0009114742279052734,1.0,0.0005,2
93,300800,-465.7037720680237,-4.657037835121155,3008,-0.00023667541063598918,2097.588409423828,2.1190570443868637,1048.7727699279785,68.68933386029676,0.00038764135712262334,0.0,-0.0006744861602783203,1.0,0.0005,2
94,304000,-451.92538833618164,-4.519254095554352,3040,-0.0011972343518911188,1874.9369506835938,2.107769653201103,937.4462089538574,65.77635908871889,0.0011801899783001359,0.00554687497424311,-0.0003758668899536133,1.0,0.0005,2
95,307200,-427.2315368652344,-4.272315218448639,3072,-0.000155428891257553,1726.7438049316406,2.1223090291023254,863.350528717041,61.51782149402425,0.00045746653961550345,0.00010416666555101983,-0.00042641162872314453,1.0,0.0005,2
96,310400,-448.39341831207275,-4.4839341354370115,3104,-0.0008300466901483006,1851.324562072754,2.1035848408937454,925.6404190063477,64.56779397418723,0.0010703463507304497,0.0015364583668997511,-0.00039005279541015625,1.0,0.0005,2
97,313600,-446.5914077758789,-4.465914258956909,3136,-0.0004958471942821951,1896.5394668579102,2.103462815284729,948.2482109069824,64.82993612065911,0.0006173307062915161,0.00028645833663176745,-0.00039958953857421875,1.0,0.0005,2
98,316800,-464.22926092147827,-4.64229259967804,3168,-0.0012251521915001007,2027.8502502441406,2.095938101410866,1013.9029426574707,67.36456304276362,0.000734810625545569,0.0015104167032404803,-0.00047147274017333984,1.0,0.0005,2
99,320000,-463.6949815750122,-4.63694974899292,3200,-0.0010037692427036227,2010.2906341552734,2.091161474585533,1005.1233978271484,67.72437233896926,0.0021023139679534684,0.013359374901483534,-0.0002733469009399414,1.0,0.0005,2
100,323200,-477.8332853317261,-4.77833288192749,3232,-0.000835138323885154,2148.752883911133,2.0922123789787292,1074.3546752929688,70.58725793194026,0.0010408488993795828,0.002526041655073641,-0.0005143880844116211,1.0,0.0005,2
101,326400,-475.45927906036377,-4.754593110084533,3264,0.00013400046331590865,2093.8483810424805,2.0798518657684326,1046.9035186767578,69.19349602563307,0.0005384051613652722,5.208333459449932e-05,-0.00025963783264160156,1.0,0.0005,2
102,329600,-469.79082775115967,-4.697908215522766,3296,-2.0115631429007408e-05,2073.9854583740234,2.0852187424898148,1036.9718589782715,67.67777376063168,0.0007416745535244649,0.0009375000081490725,-0.00016689300537109375,1.0,0.0005,2
103,332800,-469.0031681060791,-4.690031690597534,3328,-0.0002826539871512157,2082.6149368286133,2.093889206647873,1041.2862434387207,68.35584733681753,0.000745675543385654,0.00015624999650754035,-0.0003942251205444336,1.0,0.0005,2
104,336000,-476.8159747123718,-4.768159599304199,3360,-0.0006383555574664967,2093.9473876953125,2.075004741549492,1046.9523315429688,69.01340145803988,0.001037739348362953,0.0034114583031623624,-0.00042819976806640625,1.0,0.0005,2
105,339200,-481.9409189224243,-4.8194092798233035,3392,-8.071587363400745e-05,2108.5583114624023,2.0657417625188828,1054.2584190368652,69.94312546914443,0.0012587266139696385,0.000807291675300803,-0.0004229545593261719,1.0,0.0005,2
106,342400,-431.13073110580444,-4.311307187080383,3424,-0.0002260623074532564,1686.5019149780273,2.070065066218376,843.2300300598145,61.526004335377365,0.0006425034050614346,0.00018229166380479,5.054473876953125e-05,1.0,0.0005,2
107,345600,-454.61415672302246,-4.546141533851624,3456,-0.0007236507609680309,1866.2428665161133,2.058083012700081,933.1001396179199,64.93672390142456,0.0011105473831783158,0.002473958371410845,-0.00028336048126220703,1.0,0.0005,2
