run_label,config_label,run,seed,source_path,rows,first_global_step,final_global_step,best_episode_return,final_episode_return,best_mean_step_reward,final_mean_step_reward,best_optimized_episode_return,final_optimized_episode_return,best_optimized_mean_step_reward,final_optimized_mean_step_reward,best_episode_return_delta_from_start,final_episode_return_delta_from_start,best_mean_step_reward_delta_from_start,final_mean_step_reward_delta_from_start,best_task_score,final_task_score,best_eval_mean_return,final_eval_mean_return,best_eval_mean_step_reward,final_eval_mean_step_reward,best_eval_optimized_mean_return,final_eval_optimized_mean_return,best_eval_optimized_mean_step_reward,final_eval_optimized_mean_step_reward,best_eval_return_delta_from_start,final_eval_return_delta_from_start,best_eval_task_score,final_eval_task_score,best_capture_rate,final_capture_rate,best_eval_capture,final_eval_capture,min_episode_return_gap_to_zero,final_episode_return_gap_to_zero,min_mean_step_reward_gap_to_zero,final_mean_step_reward_gap_to_zero,min_coverage_distance,final_coverage_distance,min_collision_pairs,final_collision_pairs,min_eval_return_gap_to_zero,final_eval_return_gap_to_zero,min_eval_coverage_distance,final_eval_coverage_distance,min_eval_collision_pairs,final_eval_collision_pairs,min_pursuer_target_distance,final_pursuer_target_distance,min_eval_pursuer_target_distance,final_eval_pursuer_target_distance,final_episodes_completed,final_policy_loss,final_value_loss,final_entropy,final_entropy_coef,final_total_loss,final_grad_norm,final_actor_grad_norm,final_critic_grad_norm,final_approx_kl,final_clipfrac,final_explained_variance,final_mean_ratio_epoch0,final_lr,final_reward_shift
attention_seed2 seed=2,attention_seed2,seed2,2,runs/qmix_pcp_full_20260627_165504/attention/seed2/metrics.csv,100,20000.0,2000000.0,118.03669974207878,118.03669974207878,0.9963085924863816,0.9963085924863816,,,,,212.5449710190296,212.5449710190296,,,0.0367630686503514,0.0364593040523412,666.0001819729805,655.2872378528118,6.660001819729805,6.552872378528118,666.0001819729805,655.2872378528118,6.660001819729805,6.552872378528118,738.9133746027946,728.200430482626,0.37584594343259,0.3337278301011011,0.4583333333333333,0.3928571428571428,0.685,0.675,0.0,0.0,,,,,,,0.0,0.0,,,,,2.5878397762298584,2.760357021713257,0.8225552569329738,1.0226062650978565,20000.0,,,,,,6762.381899023438,,,,,,,0.0005,
attention_seed3 seed=3,attention_seed3,seed3,3,runs/qmix_pcp_full_20260627_165504/attention/seed3/metrics.csv,100,20000.0,2000000.0,313.94834408164024,96.90493270754814,2.8795662064909937,1.1047098965644837,,,,,400.8902570903301,183.846845716238,,,0.1100015553171297,0.0432463796494493,646.8897900134325,38.130547031760216,6.468897900134325,0.3813054703176021,646.8897900134325,38.130547031760216,6.468897900134325,0.3813054703176021,738.478222809732,129.71897982805967,0.2676853367069305,0.0237885545183518,0.8333333333333334,0.5625,0.675,0.075,0.0,0.0,,,,,,,0.0,0.0,,,,,1.889959138154984,2.4268764507293703,1.502938742339611,2.152776682674885,20000.0,,,,,,24222.949984375,,,,,,,0.0005,
attention_seed8 seed=8,attention_seed8,seed8,8,runs/qmix_pcp_full_20260627_165504/attention/seed8/metrics.csv,100,20000.0,2000000.0,189.49686178565025,148.16448357701302,1.4409146748542785,1.2792807576537133,,,,,271.90039244294167,230.56801423430443,,,0.0480364878664769,0.0411661539971652,531.5082780048251,185.61562326550484,5.315082780048251,1.8561562326550485,531.5082780048251,185.61562326550484,5.315082780048251,1.8561562326550485,603.3015605583787,257.4089058190584,0.2884883016948847,0.0905476960598333,0.625,0.5625,0.56,0.22,0.0,0.0,,,,,,,0.0,0.0,,,,,2.530158320617676,3.112601823616028,0.8845007337629796,1.429658727645874,20000.0,,,,,,13116.62126875,,,,,,,0.0005,
identity_seed3 seed=3,identity_seed3,seed3,3,runs/qmix_pcp_full_20260627_165504/identity/seed3/metrics.csv,100,20000.0,2000000.0,-8.06805457174778,-39.8858639895916,-0.2159403273820877,-0.3249043541073799,,,,,75.09059952199459,43.27279010415077,,,0.002905071277168,0.0008807467031736,458.92841663211584,-32.780902825295925,4.589284166321159,-0.3278090282529592,458.92841663211584,-32.780902825295925,4.589284166321159,-0.3278090282529592,550.3360793888569,58.62675993144512,0.130588811870508,0.0,0.078125,0.0357142857142857,0.5,0.0,8.06805457174778,39.8858639895916,,,,,,,0.0,32.780902825295925,,,,,2.4520260221481323,2.917130756855011,2.3737937883008278,3.1131299787759783,20000.0,,,,,,229.45527341308596,,,,,,,0.0005,
broadcast_seed3 seed=3,broadcast_seed3,seed3,3,runs/qmix_pcp_full_20260627_165504/broadcast/seed3/metrics.csv,100,20000.0,2000000.0,41.75979298353195,-20.215846061706543,0.0295930497050285,0.019942544388771,,,,,123.42725670337676,61.45161765813828,,,0.0103799784018849,0.0103799784018849,446.2902837395668,-9.028318874537945,4.462902837395668,-0.0902831887453794,446.2902837395668,-9.028318874537945,4.462902837395668,-0.0902831887453794,548.0141825154424,92.69557990133762,0.1306631003120961,0.0060033544976186,0.2760416666666667,0.2544642857142857,0.48,0.025,0.0,20.215846061706543,,,,,,,0.0,9.028318874537945,,,,,2.5206973855018617,3.0221663652420045,2.190611286954954,3.164338456094265,20000.0,,,,,,1270.1200147460938,,,,,,,0.0005,
graph_seed3 seed=3,graph_seed3,seed3,3,runs/qmix_pcp_full_20260627_165504/graph/seed3/metrics.csv,100,20000.0,2000000.0,61.43143239617348,12.9247085750103,0.254146646118164,0.2450094632983207,,,,,148.06253269314766,99.55580887198448,,,0.0169029880899247,0.0169029880899247,425.1941838674247,-42.22177293524146,4.251941838674247,-0.4222177293524146,425.1941838674247,-42.22177293524146,4.251941838674247,-0.4222177293524146,516.6018466241658,49.18588982149959,0.1240808664194621,0.0,0.3616071428571428,0.3616071428571428,0.46,0.0,0.0,0.0,,,,,,,0.0,42.22177293524146,,,,,2.8371970321655278,2.969712316131592,2.100678030252457,2.9488448974490167,20000.0,,,,,,4695.671089453125,,,,,,,0.0005,
broadcast_seed2 seed=2,broadcast_seed2,seed2,2,runs/qmix_pcp_full_20260627_165504/broadcast/seed2/metrics.csv,100,20000.0,2000000.0,-2.0988356471061707,-7.653470672667026,0.0079095776081085,0.0079095776081085,,,,,84.08334636688232,78.52871134132147,,,0.010110069886285,0.010110069886285,399.7140215933323,-24.883724769577384,3.9971402159333222,-0.2488372476957738,399.7140215933323,-24.883724769577384,3.9971402159333222,-0.2488372476957738,466.399913713336,41.80216735042632,0.1693528251006499,0.0,0.2857142857142857,0.2857142857142857,0.42,0.0,2.0988356471061707,7.653470672667026,,,,,,,0.0,24.883724769577384,,,,,2.5973288341522216,2.8674312284469603,0.948594597131014,1.825375577583909,20000.0,,,,,,715.4006388671875,,,,,,,0.0005,
attention_seed5 seed=5,attention_seed5,seed5,5,runs/qmix_pcp_full_20260627_165504/attention/seed5/metrics.csv,100,20000.0,2000000.0,145.30886101722717,71.2133623957634,1.293513114464283,1.097845387494564,,,,,235.0500499904156,160.9545513689518,,,0.0459604939638592,0.0399565054715346,377.966558448039,52.1152702094987,3.77966558448039,0.521152702094987,377.966558448039,52.1152702094987,3.77966558448039,0.521152702094987,473.0762946819887,147.22500644344836,0.1351762062107166,0.0249431733088838,0.5,0.4821428571428571,0.4,0.075,0.0,0.0,,,,,,,0.0,0.0,,,,,2.592215526008606,2.6539731960296638,1.7239300929009915,2.006834738757461,20000.0,,,,,,8293.922808007812,,,,,,,0.0005,
broadcast_seed5 seed=5,broadcast_seed5,seed5,5,runs/qmix_pcp_full_20260627_165504/broadcast/seed5/metrics.csv,100,20000.0,2000000.0,20.56308026611805,-4.036320239305496,0.0498766425848007,0.0498766425848007,,,,,109.75541026890278,85.15600976347923,,,0.0113691213321495,0.0113691213321495,369.936728252098,145.11830869317055,3.69936728252098,1.4511830869317055,369.936728252098,145.11830869317055,3.69936728252098,1.4511830869317055,447.6012274455279,222.7828078866005,0.1362544940538269,0.0544131777802459,0.3229166666666667,0.2991071428571428,0.39,0.17,0.0,4.036320239305496,,,,,,,0.0,0.0,,,,,2.399660012626648,2.861336220932007,1.6839780878834427,2.1242431876808405,20000.0,,,,,,873.2980216308594,,,,,,,0.0005,
graph_zm_seed2 seed=2,graph_zm_seed2,seed2,2,runs/qmix_pcp_full_20260627_165504/graph_zm/seed2/metrics.csv,100,20000.0,2000000.0,-11.488642260432243,-20.412609189748764,-0.242338918364048,-0.3245061805844307,,,,,78.44024623930454,69.51627930998802,,,0.0025749720166261,0.0015791965807347,324.7741505689919,-26.047729298472404,3.247741505689919,-0.260477292984724,324.7741505689919,-26.047729298472404,3.247741505689919,-0.260477292984724,400.9475893564522,50.12570948898792,0.1515737702835224,0.0,0.0625,0.0625,0.35,0.0,11.488642260432243,20.412609189748764,,,,,,,0.0,26.047729298472404,,,,,2.57496497001648,3.211002025413513,1.045208741724491,2.24761950135231,20000.0,,,,,,133.15127258300782,,,,,,,0.0005,
attention_seed6 seed=6,attention_seed6,seed6,6,runs/qmix_pcp_full_20260627_165504/attention/seed6/metrics.csv,100,20000.0,2000000.0,107.28531582653522,55.36098076403141,0.7048820735812187,0.4316717588663101,,,,,190.73004080355167,138.80570574104786,,,0.0283782433367093,0.0205617092099309,319.8165195658803,245.9433913975954,3.198165195658803,2.4594339139759542,319.8165195658803,245.9433913975954,3.198165195658803,2.4594339139759542,454.4320132806897,380.5588851124048,0.1118337146717291,0.0780333584967402,0.4427083333333333,0.3660714285714285,0.355,0.28,0.0,0.0,,,,,,,0.0,0.0,,,,,2.5710767837524413,2.924770999145508,2.174355792813003,2.588209009505809,20000.0,,,,,,10356.269898828124,,,,,,,0.0005,
broadcast_zm_seed8 seed=8,broadcast_zm_seed8,seed8,8,runs/qmix_pcp_full_20260627_165504/broadcast_zm/seed8/metrics.csv,100,20000.0,2000000.0,-10.972571521997452,-46.80530288815498,-0.2339543968200683,-0.3997199618339538,,,,,71.2184347808361,35.385703414678574,,,0.0030758184532491,0.0002400511016055,306.49934777244925,-67.18978640437126,3.0649934777244927,-0.6718978640437127,306.49934777244925,-67.18978640437126,3.0649934777244927,-0.6718978640437127,395.8411378972232,22.15200372040272,0.1003200634817353,0.0,0.0677083333333333,0.0133928571428571,0.335,0.0,10.972571521997452,46.80530288815498,,,,,,,0.0,67.18978640437126,,,,,2.58345799407959,3.582357642364502,1.431092051770538,4.01092225074768,20000.0,,,,,,163.15208884277342,,,,,,,0.0005,
