iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,capture_rate
0,3200,-39.95966877043247,-0.399596681073308,-39.95966877043247,-0.399596681073308,0.0,39.95966877043247,0.399596681073308,0.0,0.0,0.6395966893434525,0.025,0.015247652158904277,-122.36728789657354,-1.2236728789657354,-122.36728789657354,-1.2236728789657354,100.0,1.2136728881299497,0.0,0.0,122.36728789657354,0.0,32,-0.001330490849291266,0.5543918013572693,1.6084176540374755,0.2597812324762344,0.030658410862088203,0.030658410862088203,0.14200151078402995,0.0010441189151606523,0.0,-0.1899505853652954,1.0,0.01,0.0007,0,0.0
1,6400,-61.1069046407938,-0.611069044470787,-61.1069046407938,-0.611069044470787,0.0,61.1069046407938,0.611069044470787,-21.147235870361328,-0.21147236339747905,0.8010690593719483,0.02,0.011104515896227882,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0005620580696632516,0.42415781021118165,1.603378427028656,0.19555557817220687,0.04006578922271729,0.04006578922271729,0.1251527838408947,0.0006019272808771347,0.0,0.05459415912628174,1.0,0.009954773869346734,0.0006965326633165829,0,0.0
2,9600,-39.386615231633186,-0.3938661502301693,-39.386615231633186,-0.3938661502301693,0.0,39.386615231633186,0.3938661502301693,0.5730535387992859,0.0057305308431386814,0.5744911563396454,0.0190625,0.012107086104132988,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.00111770626165284,0.3106125324964523,1.600873053073883,0.1383246287703514,0.033544058352708815,0.033544058352708815,0.12655413448810576,0.0008101062792775337,0.0013541666907258333,0.0380549430847168,1.0,0.009909547738693467,0.0006930653266331658,0,0.0
3,12800,-51.21044698357582,-0.5121044902503491,-51.21044698357582,-0.5121044902503491,0.0,51.21044698357582,0.5121044902503491,-11.250778213143349,-0.11250780917704112,0.6208545035123825,0.011875,0.007326382457072453,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.0009997978332684453,0.21885031461715698,1.594653856754303,0.09269518107175827,0.0341087106615305,0.0341087106615305,0.12511485815048218,0.0009562011009620619,0.00014583333395421506,0.2056148648262024,1.0,0.0098643216080402,0.0006895979899497487,0,0.0
4,16000,-44.134290516376495,-0.44134293392300605,-44.134290516376495,-0.44134293392300605,0.0,44.134290516376495,0.44134293392300605,-4.174621745944023,-0.04174625284969807,0.6313429421186447,0.02,0.012259837881804153,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0003553796271275722,0.46041867733001707,1.5866902947425843,0.21427409648895263,0.028117929957807063,0.028117929957807063,0.17873864024877548,0.0008914978989196243,0.0,-0.207649827003479,1.0,0.009819095477386935,0.0006861306532663316,0,0.0
5,19200,-35.31946340203285,-0.3531945978850126,-35.31946340203285,-0.3531945978850126,0.0,35.31946340203285,0.3531945978850126,4.64020536839962,0.04640208318829536,0.5369446048140526,0.019375,0.012606179779878329,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.001152750760278054,0.26783640682697296,1.5728065729141236,0.11739304661750793,0.027351563796401024,0.027351563796401024,0.08719098493456841,0.0017448508744564606,0.009072916716104374,0.043578922748565674,1.0,0.009773869346733669,0.0006826633165829145,0,0.0
6,22400,-32.586157500743866,-0.32586158856749536,-32.586157500743866,-0.32586158856749536,0.0,32.586157500743866,0.32586158856749536,7.373511269688606,0.07373509250581262,0.5283615908026695,0.02125,0.013903777828412884,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.0012644458939709336,0.34077659249305725,1.559373915195465,0.15395325869321824,0.032397909089922905,0.032397909089922905,0.09420171827077865,0.0012509999352914747,0.0035104166658129544,-0.04759109020233154,1.0,0.009728643216080402,0.0006791959798994974,0,0.0
7,25600,8.49651412665844,0.08496509850025177,8.49651412665844,0.08496509850025177,0.0,0.0,0.0,48.45618289709091,0.4845617795735597,0.49253490775823594,0.05875,0.039362563444657765,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0008682976558533007,1.0759652495384215,1.5523211359977722,0.5220825433731079,0.033882533013820645,0.033882533013820645,0.20303705781698228,0.0022552716167410836,0.01782291675917804,0.030981600284576416,1.0,0.009683417085427136,0.0006757286432160804,0,0.0
8,28800,-14.82417219877243,-0.14824166975915432,-14.82417219877243,-0.14824166975915432,0.0,14.82417219877243,0.14824166975915432,25.135496571660042,0.25135501131415366,0.44136667758226394,0.0303125,0.021030387667103505,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.0010179599125209825,0.40716275572776794,1.5485139846801759,0.1876385450363159,0.031405072286725046,0.031405072286725046,0.10418948605656624,0.0017513452312414302,0.005875000171363354,0.04847902059555054,1.0,0.009638190954773869,0.0006722613065326634,0,0.0
9,32000,10.903486505150795,0.10903483934700489,10.903486505150795,0.10903483934700489,0.0,0.0,0.0,50.86315527558327,0.5086315204203129,0.440340159535408,0.0559375,0.03883631212368823,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.0013044966680269,0.943267285823822,1.5398441195487975,0.45555747151374815,0.03276470899581909,0.03276470899581909,0.21148868426680564,0.001871037199452985,0.001760416745673865,0.046617984771728516,1.0,0.009592964824120604,0.0006687939698492463,0,0.0
10,35200,-8.166475027799606,-0.08166474685072898,-8.166475027799606,-0.08166474685072898,0.0,8.166475027799606,0.08166474685072898,31.793193742632866,0.317931934222579,0.49978975355625155,0.0428125,0.028545667750085924,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,352,-0.0008254827943940946,0.4847281605005264,1.5212002038955688,0.22701457440853118,0.029819007217884063,0.029819007217884063,0.20401270389556886,0.0016909380196011626,0.006312500080093741,0.1576661467552185,1.0,0.009547738693467337,0.0006653266331658292,0,0.0
11,38400,14.811522752046585,0.14811525374650955,14.811522752046585,0.14811525374650955,0.0,0.0,0.0,54.77119152247906,0.5477119348198175,0.46063475131988524,0.061875,0.04236171975511838,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,384,-0.0015081279809237458,0.8414701163768769,1.5225234985351563,0.4047591328620911,0.03186225388199091,0.03186225388199091,0.250193652510643,0.0021006573962949913,0.010302083054557442,0.14097708463668823,1.0,0.00950251256281407,0.0006618592964824121,0,0.0
12,41600,31.773749127984047,0.3177375145256519,31.773749127984047,0.3177375145256519,0.0,0.0,0.0,71.73341789841652,0.7173341955989598,0.44101249277591703,0.076875,0.05334790668740881,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,416,-0.0018908108596612295,0.8867487132549285,1.511611807346344,0.42718780040740967,0.044471364468336105,0.044471364468336105,0.23059888333082199,0.0027705586078809576,0.016125000081956387,0.15096324682235718,1.0,0.009457286432160804,0.000658391959798995,0,0.0
