module,n_seeds,episode_return__mean,episode_return__std,mean_step_reward__mean,mean_step_reward__std,pursuer_target_distance__mean,pursuer_target_distance__std,capture__mean,capture__std,capture_rate__mean,capture_rate__std,policy_loss__mean,policy_loss__std,value_loss__mean,value_loss__std,entropy__mean,entropy__std,total_loss__mean,total_loss__std,grad_norm__mean,grad_norm__std,approx_kl__mean,approx_kl__std,clipfrac__mean,clipfrac__std,explained_variance__mean,explained_variance__std,mean_ratio_epoch0__mean,mean_ratio_epoch0__std,capture_c1_participation__mean,capture_c1_participation__std,dist_sensor_limited__mean,dist_sensor_limited__std,marginal_c1_rate__mean,marginal_c1_rate__std,knn_c1_sighted_frac__mean,knn_c1_sighted_frac__std,eval_mean_return__mean,eval_mean_return__std,eval_mean_episode_length__mean,eval_mean_episode_length__std,eval_pursuer_target_distance__mean,eval_pursuer_target_distance__std,eval_capture__mean,eval_capture__std
attention,10,-5.895383910307039,26.22199318409885,-0.05895384080897248,0.2622199309063917,1.4376431306288358,0.18254551339998334,0.04263839285714286,0.023897298393485446,0.2677579365079365,0.1179259882117814,-0.000367146254397389,5.112783058002558e-05,0.0359863593112973,0.011898953959263074,0.967300111717648,0.07948419467062974,0.01622397616708888,0.005881611862838826,0.11594135204950969,0.0335467540382,0.00041172926247140675,0.00015986753713140623,0.002339965278873038,0.0012235974821922652,0.9649737621110583,0.017898461578887893,1.0,0.0,0.04263839285714286,0.023897298393485446,1.4376431306288358,0.18254551339998334,0.04263839285714286,0.023897298393485446,nan,nan,67.08072784678079,119.67670419745363,100.0,0.0,1.1098659966542619,0.3196946907634415,0.10425,0.1153500108365838
attention_zm,10,32.68831794308461,56.19688150138774,0.32688318075760014,0.561968815690553,1.2494668452583608,0.2933233983327969,0.08127033730158731,0.04765327726347533,0.3875992063492063,0.20921751673143965,-0.00026714384487260445,3.3044348982117365e-05,0.029390304707848126,0.018295713907450308,0.9791434916238936,0.12353244943972176,0.013009424765357777,0.008982250544918814,0.15060298031994274,0.04749261532916913,0.0005216153708917507,0.0001908899378394986,0.0029316617056166353,0.0013633554206851249,0.9678979055275991,0.01874796583974025,1.0,0.0,0.08127033730158731,0.04765327726347533,1.2494668452583608,0.2933233983327969,0.08127033730158731,0.04765327726347533,nan,nan,148.84791925179306,160.66185415899358,100.0,0.0,1.0250074451063993,0.588749921711779,0.18625,0.15330615701196668
identity,10,54.885874212002534,67.8415233903316,0.5488587388092327,0.6784152326074163,1.0937855217478105,0.2077247762778192,0.10257688492063492,0.0565406558149913,0.4581845238095238,0.2366471813520033,-0.00015447642882583055,1.5368998458731895e-05,0.029239351151821514,0.03061355007221131,1.0359433244239717,0.16452116734354397,0.01296194299087224,0.015150322910710095,0.08660183999894394,0.02175656136033687,0.00024038330647921098,5.078757163143228e-05,0.00047657242085459453,0.00028115222625864567,0.9673197991318172,0.013547207958438577,1.0,0.0,0.10257688492063492,0.0565406558149913,1.0937855217478105,0.2077247762778192,0.10257688492063492,0.0565406558149913,nan,nan,235.05610056868755,152.10026672211276,100.0,0.0,0.8371712741735392,0.3731462080375438,0.269875,0.1391048390603289
